0,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018,2019
Total,2190704,2678792,2337507,1730692,1606041,1823697,1934239,1901440,1576889,1431577,1221585,1187064,1190547,1062530,1071305,1003609,1005721,977242,946146,918400,865239
01 Hokkaido,109941,141577,147055,103678,93852,96666,91867,89631,75526,66413,54428,49950,46780,41420,40158,37058,36696,35129,34058,32642,31020
02 Aomori,41046,48997,46137,35219,29881,28204,26369,24031,21761,19095,14635,13972,12920,10524,9712,8853,8621,8626,8035,7803,7170
03 Iwate,40429,46083,45664,34704,27827,24629,22077,22182,19638,17232,14254,13021,12410,10545,9745,8803,8814,8342,8175,7615,6974
04 Miyagi,45039,55512,53224,38509,31363,29240,30428,32760,31129,28025,23324,22267,22154,19326,19126,18069,18023,17399,16681,16211,14947
05 Akita,41722,47838,42659,30401,23553,19872,17754,17499,16324,13663,10992,9995,9007,7697,6688,5998,5861,5666,5396,5040,4696
06 Yamagata,41073,43941,40694,27311,22288,18864,17222,17226,16871,14893,12555,11507,10919,9357,8651,7966,7831,7547,7259,6973,6401
07 Fukushima,56059,71232,67562,48949,39239,32807,29952,31287,29504,27305,22721,21306,20332,17538,16126,14518,14195,13745,13219,12495,11552
08 Ibaraki,53532,69164,59723,44592,35664,35460,38597,40466,36369,33479,28784,28234,28220,24244,23989,21932,21700,20878,20431,19368,18004
09 Tochigi,41799,54870,46804,33428,26066,25739,27535,29673,25928,23842,19995,18662,18976,17363,16473,15442,15306,14621,14029,13495,12608
10 Gunma,42171,54605,44780,32339,25510,27885,29429,29616,25140,22917,19470,19431,19445,17134,16023,14522,14256,13661,13280,12922,11901
11 Saitama,53679,77234,62558,47813,43421,66585,91113,96033,75090,67260,63299,67750,66376,59731,59437,55765,56078,54452,53076,51241,48298
12 Chiba,50917,73955,57451,43764,39563,54170,72481,77416,65554,60719,53356,54388,55318,50588,51633,46753,47019,45389,44055,43404,40799
13 Tokyo,175890,157306,148423,127847,164826,225492,229687,186701,139953,126178,103983,96823,100209,96542,108135,110629,113194,111964,108990,107150,101818
14 Kanagawa,55404,74699,65719,51786,60704,97386,123714,118656,94356,86101,79437,80692,82906,76196,78077,72997,73476,70649,68133,66564,63035
15 Niigata,71303,86204,72013,51566,41131,40261,37368,37524,32812,29200,24061,22694,21886,18505,18083,16480,16340,15737,14967,14509,13640
16 Toyama,27737,41428,27880,18435,16126,16342,17493,17305,13555,11986,10050,10049,10170,8973,8188,7556,7567,7302,7178,6846,6604
17 Ishikawa,23958,37289,26192,18021,15990,16605,18125,18817,15138,13256,11535,11093,11467,10049,9602,8961,9072,8928,8696,8359,7808
18 Fukui,20550,25445,21209,14828,12888,12736,12181,12421,10724,10044,8668,8244,8036,7148,6874,6166,6230,6114,5856,5826,5307
19 Yamanashi,21594,26305,21366,15659,12787,12721,12269,11872,10014,9843,8582,8833,8374,7149,6651,6063,5988,5819,5705,5556,5193
20 Nagano,53314,61920,49989,35605,30750,31532,31390,31712,27187,24176,21384,21187,21194,18517,17233,15848,15639,15171,14525,14184,13553
21 Gifu,41446,51432,41465,29348,28516,32112,32287,31538,25834,23873,20292,20187,20276,17706,16887,15138,15467,14831,14040,13720,12776
22 Shizuoka,65427,81560,70307,54455,49533,55328,58139,58276,47160,43932,37045,35345,35794,31908,31896,28684,28352,27654,26261,25192,23457
23 Aichi,89574,104377,87860,65322,73237,101924,116271,111528,87697,80186,70942,71899,74736,67110,69872,65219,65615,64231,62436,61230,57145
24 Mie,37796,46234,37240,25456,24113,27057,26154,25862,21446,19745,17917,17500,17726,15345,15262,13727,13950,13376,12663,12582,11690
25 Shiga,21305,25869,21422,15053,13477,14277,15593,17629,15946,14863,13607,13320,14087,12899,13363,12729,12622,12073,11600,11350,10627
26 Kyoto,44449,53828,41236,27943,29194,36703,41235,39921,32139,28479,24209,23219,23997,21560,21234,19583,19663,19327,18521,17909,16993
27 Osaka,105202,103782,93889,73374,95012,147249,169880,150653,111956,100328,86840,86076,88163,76111,75080,69968,70596,68817,66605,65446,62557
28 Hyogo,82133,97371,81866,62404,64642,82500,91169,86839,68677,61332,53916,51947,54455,47273,47834,44352,44016,43379,41606,39713,38043
29 Nara,18026,23989,18594,13079,11994,14571,17516,17983,15949,14659,13315,13337,13270,11184,10694,9625,9832,9430,8965,8947,8323
30 Wakayama,24490,30803,23739,17434,15905,18054,17974,16340,13444,12086,10126,9879,9566,7835,7587,7140,7030,6659,6465,6070,5869
31 Tottori,14625,19348,16108,11901,9575,8560,7998,8755,8196,7508,6412,5723,5645,5012,4790,4527,4624,4436,4310,4190,3988
32 Shimane,24019,32534,25857,17162,14113,11796,10539,10939,9959,9051,7510,6764,6522,5697,5756,5359,5551,5300,5109,4887,4594
33 Okayama,38499,53528,40364,28475,25315,25451,28717,30102,24463,22698,19117,18622,19059,16688,16759,15837,15599,15477,14910,14485,13695
34 Hiroshima,53426,67757,52802,37643,34453,38967,44532,46843,37360,33501,28857,27609,27384,24740,25546,23776,23679,22736,22150,21363,20034
35 Yamaguchi,34241,49246,42761,28756,24981,24537,24584,23956,19798,17674,13729,13240,13121,11514,11551,10197,10360,9844,9455,8987,8771
36 Tokushima,24382,31646,25469,18042,13317,12622,11852,12020,10544,9708,7943,7472,7224,5913,5904,5502,5586,5346,5182,4998,4554
37 Kagawa,24502,34284,24633,16641,13540,13721,14522,15539,12993,11529,9555,9301,9808,8686,8397,7745,7719,7510,7387,6899,6631
38 Ehime,38367,52775,45549,30584,25039,24424,22877,23315,19721,17644,14612,13849,13207,11528,11427,10399,10146,9911,9569,9330,8446
39 Kochi,20867,28656,23037,16029,12663,12028,11842,11773,9378,9350,7182,6939,6811,5916,5518,5015,5052,4779,4837,4559,4270
40 Fukuoka,83422,108237,109156,76427,67318,68854,69632,71059,64404,58837,48164,46849,47290,43421,46818,45203,45236,44036,43440,42008,39754
41 Saga,23041,31958,29996,22267,17294,14443,13187,13085,12466,11705,9555,8729,8745,7508,7640,7159,7064,6811,6743,6535,6231
42 Nagasaki,41373,53021,54602,43131,36508,30188,26720,25639,22232,20365,16517,14780,14098,12148,12004,11323,11020,10886,10558,10135,9585
43 Kumamoto,43424,61213,55372,42164,33005,28920,25112,25596,24446,23183,18992,17895,17262,15645,16246,15558,15577,14896,14657,14301,13305
44 Oita,32262,42330,36701,26429,20127,18534,17579,18336,16296,14420,11631,11125,10910,9780,10072,9280,9113,9059,8658,8200,7624
45 Miyazaki,28450,38641,35330,26740,21920,18438,16986,18123,16991,15262,12107,11693,11037,9738,10217,9509,9226,8929,8797,8434,8043
46 Kagoshima,52386,58769,55038,49979,37821,29243,24291,24592,24540,23375,18892,16649,16272,14834,15124,14236,14125,13688,13209,12956,11977
47 Okinawa,16413,N/A,N/A,N/A,N/A,N/A,N/A,22371,20281,20657,17088,16751,16773,16115,17098,16375,16942,16617,16218,15732,14902
