Prefecture,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018,2019
Total,1138238,904876,693523,706599,700438,712962,702275,722801,752283,820305,922139,961653,1083796,1197014,1273025,1290510,1308158,1340567,1362470,1381093
01 Hokkaido,51472,42745,32729,31509,31779,31884,31037,32434,34314,36720,40678,43407,49982,55404,60019,60667,61920,62451,64187,65498
02 Aomori,18092,16707,11094,10742,9805,9669,9546,10052,10547,10812,12496,13147,14882,16030,17042,17148,17309,17575,17936,18424
03 Iwate,19619,17575,12461,11586,10799,10546,9943,9892,10073,10882,12043,12517,14638,15756,16274,16502,16959,17232,17390,17826
04 Miyagi,20703,17373,12646,12301,12437,12390,12152,12651,12828,13982,15980,17127,19765,21932,22854,23121,23523,23973,24520,25202
05 Akita,19952,15968,11358,10348,9807,9574,9110,9279,9412,10005,10931,12026,13061,14288,15096,14794,15244,15425,15434,15784
06 Yamagata,20871,15502,11691,10986,10698,10299,9585,9955,9800,10423,11259,11842,13255,14084,15032,14960,15181,15332,15320,15719
07 Fukushima,28345,23619,18287,17044,16109,15672,14801,14869,14967,15746,17743,18642,20981,22747,23496,24205,24166,24778,24747,25004
08 Ibaraki,28475,24867,18732,17709,17042,17395,16773,16858,17261,18962,21621,22877,25839,28615,30353,31025,31414,32261,32927,33440
09 Tochigi,21329,18432,13067,12505,12405,12672,12112,12109,12349,13608,14672,15613,18091,19712,20755,20519,21436,21829,21885,22138
10 Gunma,21908,17390,12821,12827,12775,12979,12344,12290,12790,13607,15428,16144,18546,20385,21441,21519,22127,22587,22937,23254
11 Saitama,30268,26258,19238,19089,20117,21836,22688,24129,26417,31222,36799,40486,48095,55487,61269,62566,63470,65770,67726,69537
12 Chiba,30780,25777,19293,19209,19739,21051,21768,22965,24891,28857,34317,37238,44021,50014,53978,56080,56398,59013,59561,62004
13 Tokyo,58723,51790,44718,50048,51644,56183,55323,58258,62499,70370,78651,83849,93599,104238,111024,111673,113415,116453,119253,120870
14 Kanagawa,26826,22047,18614,20564,22751,25814,27319,29923,33809,39543,46507,50539,58801,67760,74387,75765,77363,80354,82336,83968
15 Niigata,36442,28963,21282,19775,20507,19163,17768,17719,18085,18735,21222,21835,24396,26618,28316,28297,28822,29323,30068,30572
16 Toyama,16259,12760,8539,8711,8514,8179,7770,7923,8275,8641,9552,9734,10861,11875,12584,12731,12864,13161,13066,13207
17 Ishikawa,15185,12630,8713,8698,8445,7776,7706,7681,7657,8231,9174,9391,10376,11607,12190,12280,12422,12727,12723,12900
18 Fukui,11965,9405,6755,6738,6511,6036,5887,5892,6003,6220,6782,6931,7772,8417,8817,8971,9228,9347,9221,9593
19 Yamanashi,10970,8419,6332,6488,6396,6470,6003,6143,6213,6606,7168,7297,8291,9268,9755,9637,9565,9678,9916,10083
20 Nagano,27744,21442,16993,17202,17476,16535,15685,15703,15975,16646,18052,19320,21369,23133,24752,24536,25114,25674,25422,26041
21 Gifu,22199,17297,12749,13013,12782,13008,12908,13011,13240,14055,15811,16577,18511,20220,21658,21999,22474,22968,23062,23417
22 Shizuoka,30574,24530,19741,19935,19966,20302,19788,20550,21415,23543,26666,28323,31747,36420,38342,39518,39297,41078,41972,42190
23 Aichi,42987,34433,26873,28829,28897,30681,30993,31734,33357,37435,42944,45810,52536,58477,62426,64061,65227,67177,68833,69932
24 Mie,22210,16210,12190,12981,12551,12679,12240,12154,12724,13630,15072,15292,17154,18691,19525,20139,20098,20531,20900,20811
25 Shiga,14675,10031,7552,7892,7643,7484,7307,7276,7255,7961,8958,9232,10419,11602,12266,12507,12507,13083,13246,13221
26 Kyoto,25686,17850,13797,15265,15109,15577,15460,16059,16942,18031,19321,20233,22134,23714,25507,25495,25830,26431,26654,27028
27 Osaka,48379,35797,30518,35253,36860,40464,41299,44272,48152,52844,58255,61315,68648,76556,81653,83577,84391,87086,89494,90410
28 Hyogo,44814,33340,26690,29350,29489,30259,30466,32275,33952,36787,47044,41724,46657,51568,54147,55391,55422,56584,57452,57938
29 Nara,12200,8571,6697,6952,6701,6843,7055,7623,8295,8958,10106,10362,11880,13036,13835,13920,14054,14486,14674,14660
30 Wakayama,13804,10449,8266,8703,8651,8805,8423,8721,8921,9281,10064,10225,11251,12049,12609,12549,12620,12772,13062,12837
31 Tottori,9149,6654,5106,5473,5322,5210,4901,4970,4851,5224,5789,5935,6303,6947,7076,7271,7357,7536,7309,7605
32 Shimane,14768,11704,8397,8434,8176,7789,7197,7105,6633,7078,7687,7700,8557,9109,9369,9604,9562,9694,9724,9710
33 Okayama,25683,18734,13783,14916,14139,13875,13865,14019,14358,15343,16543,16907,18428,20248,21051,21525,21532,21604,22429,21944
34 Hiroshima,30212,22240,17560,18584,17969,18404,18057,18235,19129,20468,22650,23188,25579,27561,29463,29880,29994,30795,31346,31237
35 Yamaguchi,23869,17259,13428,13621,13000,12695,11937,12347,12278,13265,14484,15126,16522,17646,17910,18211,18366,18712,18836,19081
36 Tokushima,14628,11674,8185,7960,7902,7508,7012,7003,6656,7268,7641,7940,8609,9307,9853,9847,9855,10207,10011,10126
37 Kagawa,13986,10959,8086,8185,7797,7656,7312,7418,7516,8339,8863,9433,10265,11064,11503,11593,11908,11894,12169,12148
38 Ehime,22153,16743,12655,12821,12402,12285,11651,11319,11547,12458,13509,13757,15469,16344,17529,17585,17734,18149,18207,18281
39 Kochi,12988,10485,7955,8255,7988,8499,7806,7435,7311,7684,8093,8306,9119,9769,9984,10020,10305,10150,10251,10317
40 Fukuoka,48082,36874,29078,28770,28124,28056,27576,29517,30888,33595,37158,38505,42675,46996,49317,50262,51011,52531,53309,54099
